"ID","name"
"1","Action"
"2","Adventure"
"3","Comedy"
"4","Drama"
"5","Family"
"6","Fantasy"
"7","Food"
"8","Harem"
"9","Historical"
"10","Horror"
"11","Idols"
"12","Isekai"
"13","Mecha"
"14","Music"
"15","Mystery"
"16","Romance"
"17","SciFi"
"18","Thriller"
