"ID","animeID","genreID"
"69","175","1"
"70","176","1"
"446","177","2"
"1156","177","4"
"2089","177","15"
"2648","177","18"
"701","178","3"
"1468","178","6"
"71","179","1"
"702","179","3"
"2090","179","15"
"2175","179","16"
"1469","180","6"
"703","181","3"
"72","182","1"
"447","182","2"
"1470","182","6"
"1157","183","4"
"2176","183","16"
"73","184","1"
"448","184","2"
"1471","184","6"
"74","185","1"
"449","185","2"
"1472","185","6"
"75","186","1"
"1158","186","4"
"1159","187","4"
"2091","188","15"
"2649","188","18"
"76","189","1"
"450","189","2"
"2458","189","17"
"704","190","3"
"1160","190","4"
"2177","190","16"
"77","191","1"
"705","191","3"
"78","194","1"
"451","194","2"
"706","195","3"
"707","196","3"
"708","197","3"
"79","198","1"
"1161","198","4"
"1473","198","6"
"2178","198","16"
"80","199","1"
"452","199","2"
"1162","199","4"
"1474","199","6"
"2179","199","16"
"81","200","1"
"1163","200","4"
"1475","200","6"
"1164","201","4"
"1165","202","4"
"2180","202","16"
"709","203","3"
"2030","203","14"
"2459","203","17"
"1166","204","4"
"2650","204","18"
"1167","205","4"
"2181","205","16"
"2460","205","17"
"710","206","3"
"82","207","1"
"2651","207","18"
"1476","208","6"
"2461","208","17"
"1747","209","8"
"2092","209","15"
"2182","209","16"
"1477","210","6"
"711","211","3"
"712","212","3"
"83","213","1"
"453","213","2"
"1168","213","4"
"1478","213","6"
"2183","213","16"
"2462","213","17"
"2184","214","16"
"84","215","1"
"454","215","2"
"2463","215","17"
"85","216","1"
"1169","216","4"
"2464","216","17"
"713","217","3"
"2465","217","17"
"714","218","3"
"715","219","3"
"716","220","3"
"2185","220","16"
"717","222","3"
"1886","222","11"
"718","224","3"
"719","226","3"
"1170","226","4"
"1748","226","8"
"2186","226","16"
"720","227","3"
"2187","227","16"
"2466","228","17"
"86","229","1"
"1749","229","8"
"1831","229","9"
"1962","229","13"
"2467","229","17"
"721","230","3"
"2188","231","16"
"1171","232","4"
"2468","232","17"
"87","233","1"
"1479","233","6"
"722","234","3"
"88","235","1"
"1963","235","13"
"2469","235","17"
"89","236","1"
"1172","236","4"
"1964","236","13"
"2189","236","16"
"2470","236","17"
"90","238","1"
"723","238","3"
"1173","238","4"
"1480","238","6"
"1750","238","8"
"2190","238","16"
"2471","238","17"
"91","239","1"
"1481","239","6"
"1174","240","4"
"724","241","3"
"725","242","3"
"1482","242","6"
"726","243","3"
"1751","243","8"
"2191","243","16"
"2472","243","17"
"455","244","2"
"1483","244","6"
"1752","244","8"
"1918","244","12"
"2192","244","16"
"2652","245","18"
"456","247","2"
"1484","247","6"
"92","248","1"
"1965","248","13"
"2473","248","17"
"93","249","1"
"727","249","3"
"1485","249","6"
"1753","249","8"
"2193","249","16"
"94","250","1"
"1175","250","4"
"1966","251","13"
"728","252","3"
"95","255","1"
"1176","256","4"
"1754","256","8"
"2194","256","16"
"1177","257","4"
"1755","257","8"
"2195","257","16"
"729","258","3"
"1486","258","6"
"1919","258","12"
"96","259","1"
"1487","259","6"
"1832","259","9"
"457","260","2"
"1178","260","4"
"2474","260","17"
"97","261","1"
"2475","261","17"
"458","263","2"
"2093","263","15"
"1179","264","4"
"2094","264","15"
"2196","264","16"
"98","265","1"
"730","265","3"
"2197","265","16"
"2476","265","17"
"731","268","3"
"99","269","1"
"732","269","3"
"1180","270","4"
"2198","270","16"
"733","271","3"
"100","272","1"
"459","272","2"
"101","273","1"
"1181","273","4"
"2477","273","17"
"102","275","1"
"460","275","2"
"734","275","3"
"1182","275","4"
"2478","275","17"
"103","276","1"
"1488","276","6"
"2479","276","17"
"104","277","1"
"461","277","2"
"1489","277","6"
"105","278","1"
"1490","278","6"
"1756","278","8"
"106","279","1"
"1183","279","4"
"2199","279","16"
"2480","279","17"
"1184","280","4"
"1887","280","11"
"2031","280","14"
"107","281","1"
"1185","281","4"
"1491","281","6"
"1833","281","9"
"1920","281","12"
"2095","283","15"
"2200","283","16"
"1888","284","11"
"2032","284","14"
"462","285","2"
"1186","285","4"
"1757","285","8"
"1834","285","9"
"2201","285","16"
"108","286","1"
"463","286","2"
"2481","286","17"
"109","287","1"
"464","287","2"
"2482","287","17"
"735","288","3"
"465","289","2"
"736","289","3"
"1921","289","12"
"466","290","2"
"2483","290","17"
"1187","291","4"
"1492","291","6"
"467","292","2"
"737","292","3"
"1493","292","6"
"2202","292","16"
"1188","293","4"
"1835","293","9"
"2203","293","16"
"738","294","3"
"1494","295","6"
"739","296","3"
"2204","296","16"
"1189","297","4"
"2096","297","15"
"2653","297","18"
"1758","298","8"
"2205","298","16"
"110","299","1"
"740","299","3"
"468","300","2"
"1190","300","4"
"1967","300","13"
"2206","300","16"
"2484","300","17"
"1191","301","4"
"2654","301","18"
"111","302","1"
"741","302","3"
"112","303","1"
"469","303","2"
"1968","303","13"
"2485","303","17"
"1495","304","6"
"470","306","2"
"742","306","3"
"1192","306","4"
"1496","306","6"
"1759","306","8"
"1922","306","12"
"2207","306","16"
"113","309","1"
"743","309","3"
"1497","309","6"
"2486","309","17"
"471","310","2"
"1498","310","6"
"114","311","1"
"2097","311","15"
"744","312","3"
"1499","313","6"
"115","314","1"
"1500","314","6"
